model,cv_roc_auc_mean,cv_roc_auc_std,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc
Logistic Regression,0.8647481866033153,0.013330250273713927,0.799,0.8840336134453781,0.7993920972644377,0.839584996009577,0.879037131836684
Gradient Boosting,0.8623131147570993,0.012287220365652897,0.807,0.8307254623044097,0.8875379939209727,0.858192505510654,0.8759487370909542
Random Forest,0.8465612417769919,0.016991727474458887,0.813,0.8552036199095022,0.8617021276595744,0.858440575321726,0.8679811230203167
XGBoost,0.8530336223830025,0.014418037158731904,0.805,0.8330935251798561,0.8799392097264438,0.8558758314855875,0.8661680797739028
KNN (baseline),0.8148618451513592,0.01950573863943599,0.782,0.7917771883289124,0.9072948328267477,0.8456090651558074,0.8341154304200217
Decision Tree,0.7733393571553583,0.011264429836392894,0.787,0.8449612403100775,0.8282674772036475,0.8365310821181888,0.8007118860982243
